product_id,title,authors,original_price,current_price,quantity,category,n_review,avg_rating,pages,manufacturer,discount
108501281,"Hộp Sách (Gồm 4 Cuốn) Sức Mạnh Tư Duy : Tư Duy Phản Biện + Tư Duy Vượt Giới Hạn, Thành Công Vượt Đám Đông + Tư Duy Logic + Rèn Luyện Tư Duy Logic (Tái Bản)",Unknown,501000,399000,171,Others,46,5,330,Nhiều Nhà Xuất Bản,0.2
19349145,Bí Mật Tư Duy Triệu Phú (Tái Bản 2019),T.Harv Eker,99500,99500,2088,Bài học kinh doanh,273,4.8,330,Nhà Xuất Bản Tổng hợp TP.HCM,0
83680361,ISMS - Hiểu Về Nghệ Thuật Hiện Đại,Sam Phillips,245000,159200,159,Mỹ Thuật - Kiến Trúc,38,4.8,160,Nhà Xuất Bản Thế Giới,0.35
142791749,Sự Trỗi Dạy Và Suy Tàn Của Đế Chế Thứ 3 (Tái Bản),William L.Shirer,385000,269000,461,Lĩnh vực khác,120,4.5,330,Nhà Xuất Bản Thông Tin Và Truyền Thông,0.3
158307847,Anh Sẽ Đi Tìm Em Trên Chiếc Xe Đạp Hỏng,Ichikawa Takuji,128000,96100,552,Tác phẩm kinh điển,109,5,300,Nhà Xuất Bản Hà Nội,0.25
57870426,Sức Mạnh Của Ngôn Từ (Tặng Kèm 1 Photocard Mintbooks Limited),Shin Dohyeon,96000,58520,13288,Others,3124,4.8,212,Nhà Xuất Bản Thanh Niên,0.39
203899324,Unstoppable Us – Không Thể Dừng Bước - Tập 1: Loài Người Chinh Phục Thế Giới Như Thế Nào,Unknown,269000,213999,15,Lịch Sử Thế Giới,0,0,330,Nhà Xuất Bản Tri Thức,0.2
111271564,Vòng Xoáy Đi Lên - Đảo Chiều Trầm Cảm Từ Những Thay Đổi Nhỏ,Alex Korb,149000,104300,552,Others,94,4.8,332,Nhà Xuất Bản Công Thương,0.3
2202113,Đoàn Tàu Trong Mơ,Sherri Duskey Rinder,88000,44000,547,Tiểu Thuyết,20,4.1,36,Unknown,0.5
187824773,Tướng Về Hưu Và Những Truyện Khác (Bản Đặc Biệt),Nguyễn Huy Thiệp,360000,266400,134,Phóng sự - Ký sự - Bút ký,19,5,498,NXB Trẻ,0.26
192125793,Harry Potter và tên tù nhân ngục Azkaban (Tái Bản 2022),J.K.Rowling,205000,149200,125,Truyện Giả tưởng - Huyền Bí - Phiêu Lưu,19,5,560,NXB Trẻ,0.27
